source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,920,0.85,0.0244,0.915,0.8966,561450.32,5026047.12,7513.81,0,0.021856,8.166477,Cambisols,20.553,300.8,1,521.5,0.915,0.06864,0.23195,0.11644,0.0124,-0.01311
thr85_all,921,0.85,0.04,0.9384,0.9008,696658.98,5025908.2,165.44,1,0.036033,4.799356,Luvisols,7.27,268.7,3,104.3,0.9048,0.04649,0.23828,0.06944,0.02489,0.02697
thr85_all,922,0.85,0.0156,0.8846,0.8651,680873.5,5025923.5,1736.41,0,0.013517,6.599197,Cambisols,0.841,143.1,2,85.9,0.878,0.1275,0.06334,0.12056,0.02695,0.04093
thr85_all,923,0.85,0.025,0.915,0.8987,559785.0,5025873.75,8140.4,0,0.022468,8.23976,Cambisols,13.255,265.5,1,500.0,0.9096,0.07111,0.22847,0.11716,0.01125,-0.01709
thr85_all,924,0.85,0.0125,0.8725,0.8622,674571.25,5025938.75,2226.13,0,0.010777,6.725647,Cambisols,1.399,180.5,2,89.9,0.8602,0.12574,0.07591,0.10948,0.02809,0.02223
thr85_all,925,0.85,0.0119,0.8772,0.8617,685157.24,5025957.24,1812.12,0,0.010232,6.581478,Cambisols,-1.378,85.1,2,83.6,0.8669,0.16437,-0.00542,0.12866,0.03715,0.04337
thr85_all,926,0.85,0.03,0.8664,0.8623,559049.48,5025844.79,8545.45,0,0.025869,7.843923,Cambisols,19.247,640.0,1,601.7,0.8614,0.06254,0.25531,0.05948,0.00887,-0.02352
thr85_all,927,0.85,0.0312,0.915,0.8983,560756.5,5025832.0,7610.14,0,0.028072,8.178133,Cambisols,18.135,287.0,1,495.8,0.9113,0.06906,0.22856,0.1171,0.01171,-0.01387
thr85_all,928,0.85,0.0406,0.8739,0.8619,681344.42,5025855.96,1387.02,0,0.035014,6.323461,Cambisols,-1.171,71.9,2,83.1,0.8555,0.16793,-0.01795,0.13138,0.03603,0.03935
thr85_all,929,0.85,0.5275,0.9222,0.8758,691148.02,5024267.54,1471.55,1,0.461993,6.727041,Cambisols,2.591,173.4,1,101.0,0.8844,0.11986,0.10253,0.13271,0.01515,0.01547
